Competency question,Category,Normalized structure,Sequence,Expanded sequence,Source
What role does this object play?,"Find object-entity in a given condition, active role","Object: hasRole, Role","entity, predicate, entity","subj-entity, aux, verb, obj-entity",http://ontologydesignpatterns.org/wiki/Submissions:Objectrole
Which objects do play that role?,"Find subject-entity in a given condition, active role","Objects: hasRole, Role","entity, predicate, entity","subj-entity, aux, verb, obj-entity",http://ontologydesignpatterns.org/wiki/Submissions:Objectrole
What is this entity part of?,"Find object-entity in a given condition, belonging, part-of","Entity: isPartOf, Entity","predicate, entity, entity, subject-predicate","to-be-verb, subj-entity, subj-predicate",http://ontologydesignpatterns.org/wiki/Submissions:PartOf
What are the parts of this entity?,"Find object-entity in a given condition, belonging, specification role, part-of","Entity: hasPart, Entity","predicate, entity, entity","to-be-verb, obj-entity, of, subj-entity",http://ontologydesignpatterns.org/wiki/Submissions:PartOf
Which is the strength of an Affordance?,"Measuring a value, quantity, specification role","Affordance: affordanceStrength, xsd:double","predicate, requested value (entity), entity ","to-be-verb, obj-entity, of, subj-entity",http://ontologydesignpatterns.org/wiki/Submissions:Affordance
Which agent does play this role?,"Find subject-entity in a given condition, active role","Agent: hasRole, Role","entity, predicate, entity","subj-entity, aux, verb, obj-entity",http://ontologydesignpatterns.org/wiki/Submissions:AgentRole
Which algorithm is implemented by this implementation?,"Find subject-entity in a given condition, passive role, specified agent","Algorithm: isImplementedBy, Implementation","entity, predicate, entity","subj-entity, verb-passive, by, obj-entity",http://ontologydesignpatterns.org/wiki/Submissions:AlgorithmImplementationExecution
Which implementation is executed?,"Find subject-entity in a given condition, passive role","Implementation: isExectutedBy, (Execution)","entity, predicate","subj-entity, verb-passive",http://ontologydesignpatterns.org/wiki/Submissions:AlgorithmImplementationExecution
What bag is this item an element of?,"Find subject-entity in a given condition, belonging, part-of","Bag: hasMember, Item","entity, predicate, entity, subject-predicate","obj-entity, to-be-verb, subj-entity, subj-predicate",
Who is taking the course?,"Find subject-entity in a given condition, active role, who-question","UnknownClass: takes, Course","predicate, entity","verb, obj-entity",http://ontologydesignpatterns.org/wiki/Submissions:Course
Who was involved as bias source in a bias event?,"Find subject-entity in a given condition, active role, given type ","BiasSourceAgent: performSourceRole, BiasSourceRole,
BiasEvent: providesSourceRole, BiasSourceRole","predicate, subject-predicate, entity","verb, subj-entity class, in + obj-entity",http://ontologydesignpatterns.org/wiki/Submissions:Bias_Event_Pattern
What type of bias is documented?,"Find subject in a given condition, categorization, all-categories","BiasEvent: hasBiasType, BiasType","entity, entity, predicate","obj-entity, of, subj-entity, verb",http://ontologydesignpatterns.org/wiki/Submissions:Bias_Event_Pattern
Who are the bias recipient agents that do not have a bias source agent?,"Find subject in a given condition, missing parameter",,"predicate, entity, predicate, entity","to-be-verb, subj-entity, that, aux, negative-verb, obj-entity",http://ontologydesignpatterns.org/wiki/Submissions:Bias_Event_Pattern
Who is the creator of an archive?,"Find object-entity in a given condition, specification role, creator","Unit: hasCreator, Creator","predicate, subject-predicate, entity","to-be-verb, obj-entity, of, subj-entity",http://ontologydesignpatterns.org/wiki/Submissions:Born_Digital_Archives
Who played against Kasparov in the round 1994 Linares tournament?,"Find subject in a given condition, active role, specific context of event","ChessGame: providesAgentRole, AgentRole,
AgentRole, performedBy, Agent,
ChessGame: subeventOf, ChessCompetionInstance,
ChessCompetitionInstance, atTime, TIME","predicate, entity, entity, date, entity",,http://ontologydesignpatterns.org/wiki/Submissions:ChessGame
